,Coefficients,Feature
50,-0.41039419385394915,ZIP_94121
127,-0.5424280071315626,ZIP_95050
143,-0.6093978980422424,ZIP_95125
138,-0.6671717397529927,ZIP_95120
135,-0.7580765440921616,ZIP_95117
56,-0.8022707112756606,ZIP_94132
129,-0.9810319013078705,ZIP_95054
40,-1.0695215912340161,ZIP_94103
116,-1.080509476521037,ZIP_95002
155,-1.95599935367104,ZIP_95139
63,-2.046749015677692,ZIP_94401
157,-2.1112970270264473,ZIP_95391
51,-2.317040708858586,ZIP_94122
113,-2.739627088039661,ZIP_94710
137,-2.891256039453539,ZIP_95119
115,-3.0367914664889577,ZIP_94980
114,-3.082698016306901,ZIP_94979
141,-3.2832637348659897,ZIP_95123
150,-3.322899751200341,ZIP_95132
61,-3.717188397430422,ZIP_94305
154,-4.077588570140144,ZIP_95138
29,-4.0926732500138305,ZIP_94063
153,-4.784046236123504,ZIP_95136
152,-4.895326281304275,ZIP_95135
88,-5.488062645220762,ZIP_94586
101,-6.5132808450146555,ZIP_94612
107,-6.923573429188848,ZIP_94704
26,-7.004420540164155,ZIP_94060
33,-7.1920624690254185,ZIP_94074
13,-7.300918351541091,ZIP_94021
146,-7.556471013875317,ZIP_95128
102,-7.598317407027422,ZIP_94618
57,-7.816271475885254,ZIP_94134
132,-7.925391295256034,ZIP_95111
71,-7.960718802614856,ZIP_94539
139,-8.359160394206285,ZIP_95121
144,-8.628226631124884,ZIP_95126
151,-10.13571859126847,ZIP_95133
156,-10.221469678989767,ZIP_95148
98,-12.092261347827503,ZIP_94609
131,-13.15758920197789,ZIP_95110
140,-13.382699641606711,ZIP_95122
126,-14.019144452727781,ZIP_95046
21,-14.229804804283607,ZIP_94038
70,-14.56286863343414,ZIP_94538
105,-14.833700633183454,ZIP_94702
112,-14.940254662274734,ZIP_94709
44,-15.225207627192034,ZIP_94112
99,-15.316484220879014,ZIP_94610
53,-15.99893886986221,ZIP_94124
109,-17.106003747720468,ZIP_94706
134,-17.71761212666822,ZIP_95116
20,-17.90904558826055,ZIP_94037
31,-17.9604297841439,ZIP_94066
87,-18.00321353990151,ZIP_94580
96,-18.100500025033334,ZIP_94607
79,-20.04852759509457,ZIP_94552
6,-21.025421791972377,ZIP_94005
110,-21.057089585155282,ZIP_94707
133,-21.356521623237338,ZIP_95112
106,-21.358861934017014,ZIP_94703
10,-21.64042295030395,ZIP_94018
68,-22.377211737719666,ZIP_94502
92,-22.922130711603952,ZIP_94602
9,-23.422644325550078,ZIP_94015
97,-23.594182243662576,ZIP_94608
80,-24.809117423475453,ZIP_94555
12,-25.41086001887803,ZIP_94020
95,-26.02621999290262,ZIP_94606
76,-26.283898416360795,ZIP_94546
108,-26.55769669019888,ZIP_94705
25,-26.640033007155434,ZIP_94044
145,-26.66994597399714,ZIP_95127
69,-26.841023784725586,ZIP_94536
100,-27.03615520313316,ZIP_94611
124,-27.177507066804424,ZIP_95035
111,-29.388316400674267,ZIP_94708
34,-31.09151567591775,ZIP_94080
103,-31.32192099356096,ZIP_94619
8,-31.698350641136955,ZIP_94014
86,-32.42216912225544,ZIP_94579
123,-33.16865265079209,ZIP_95033
104,-34.0688014710509,ZIP_94621
91,-34.29065594546114,ZIP_94601
75,-40.613855378448406,ZIP_94545
93,-41.28789734657654,ZIP_94603
90,-44.73813622973578,ZIP_94588
85,-47.297671441139734,ZIP_94578
81,-50.60683584360671,ZIP_94560
74,-52.2200596504323,ZIP_94544
94,-52.30739770233915,ZIP_94605
11,-52.86510007971032,ZIP_94019
67,-58.57396068220535,ZIP_94501
78,-60.29562930368313,ZIP_94551
72,-64.96983461590222,ZIP_94541
89,-68.31329720257862,ZIP_94587
84,-73.68242813523216,ZIP_94577
82,-78.94442686890646,ZIP_94566
83,-79.43221971176867,ZIP_94568
73,-81.09774009711779,ZIP_94542
125,-81.76700529036,ZIP_95037
77,-94.21266883498164,ZIP_94550
119,-115.68886832896952,ZIP_95020
